concept_id,Dx
4103574,Depression
440696,Depression
4202389,PTSD
442077,Anx
4224639,Depression
440686,Schizo
4282316,Depression
4307518,Depression
4329560,Depression
4288013,Psych
4310121,Schizo
4269493,Depression
433751,Depression
437528,Bipolar
373176,Depression
434911,Depression
438406,Depression
439251,Bipolar
4100536,PTSD
444396,Schizo
438405,Bipolar
373175,Psych
442570,Bipolar
4174987,Depression
4031328,Depression
433454,Depression
432285,Depression
439785,Bipolar
42872411,Depression
440698,Depression
4103567,Panic
432290,Bipolar
440079,Bipolar
435217,Schizo
762060,Depression
443906,Bipolar
36717092,Depression
4288011,Anx
4178928,PTSD
4307111,Depression
438998,Depression
4327337,Depression
433734,Schizo
439246,Bipolar
35624743,Bipolar
4161200,Bipolar
435236,Schizo
437243,Schizo
4250023,Depression
37117177,Bipolar
4277739,Panic
438119,Bipolar
436676,PTSD
4244078,Schizo
4262111,Bipolar
4114950,Depression
437831,Bipolar
437250,Bipolar
4030856,Bipolar
436386,Bipolar
443237,Bipolar
4100247,Psych
433996,Schizo
35624747,Bipolar
4328217,Depression
441534,Depression
40484109,PTSD
4304140,Depression
4199892,Anx
4244690,Depression
375229,Psych
4105330,Schizo
4295956,Depression
439253,Bipolar
439255,Bipolar
435225,Bipolar
4008566,Schizo
37111697,Depression
4253782,Depression
4310821,Bipolar
4218624,Panic
439275,Schizo
4102965,Panic
434901,Schizo
4085662,Schizo
436073,Psych
433742,Schizo
4321835,Phobia
441828,Schizo
4037669,Bipolar
439272,Bipolar
437249,Bipolar
43531624,Depression
437529,Bipolar
4304010,Phobia
35624748,Bipolar
4152280,Depression
4314692,Depression
440374,OCD
439256,Bipolar
4149320,Depression
4098302,Depression
432299,Schizo
40480879,Schizo
432865,Schizo
4102936,Bipolar
441835,Schizo
433991,Depression
439259,Depression
4232639,Psych
4280361,Bipolar
439001,Bipolar
4185575,Bipolar
435783,Schizo
440083,Panic
4138454,Anx
441543,Anx
436385,Schizo
4324945,Bipolar
44784632,Depression
44805553,Bipolar
439786,Panic
439245,Bipolar
4327669,Bipolar
37109941,Depression
440067,Bipolar
4335169,Psych
4100366,Schizo
36714389,Depression
42872412,Bipolar
4077577,Depression
438727,Depression
4195572,Depression
42872413,Bipolar
35615153,Depression
4177651,Bipolar
4269143,Depression
36714998,Depression
37016718,Depression
4223090,Depression
436673,Schizo
4148934,Bipolar
36713698,Depression
4001733,Bipolar
436067,Schizo
35610112,Bipolar
4200385,Bipolar
436952,Psych
43021849,Bipolar
439248,Bipolar
440078,Bipolar
4102603,Bipolar
432598,Schizo
4154391,Depression
372599,Bipolar
4147466,Panic
35615155,Depression
4338031,Anx
4204708,Panic
442306,Depression
4335159,Schizo
439273,Bipolar
440684,Psych
4201739,Bipolar
436071,Depression
435520,Psych
440983,Psych
435237,Psych
4336957,Depression
4168389,Schizo
4144519,Bipolar
441834,Bipolar
4335168,Psych
4286201,Schizo
435218,Schizo
4219627,Panic
36715000,Depression
4148630,Depression
439274,Schizo
432590,Psych
435226,Bipolar
441836,Bipolar
4298317,Depression
40480415,Psych
4195158,Bipolar
4241158,Depression
432300,Schizo
4215917,Bipolar
4246992,Panic
433442,Schizo
36684319,Depression
4141454,Depression
4246498,Psych
433743,Bipolar
4323418,Depression
44782943,Depression
42872722,Depression
4217601,Panic
4228802,Depression
439262,Bipolar
4237734,Bipolar
4150985,Bipolar
443414,PTSD
4151170,Depression
4175329,Depression
436072,Bipolar
4144233,Depression
4100365,Schizo
4057218,Depression
436677,Depression
35622934,Bipolar
444100,Depression
432600,Anx
440373,Schizo
4154309,Depression
381537,Anx
440383,Depression
432597,Schizo
37396201,Depression
4176002,Depression
37311515,Depression
4333677,Bipolar
4307804,Bipolar
4282096,Depression
439261,Bipolar
4141292,Depression
441538,Schizo
4071442,Bipolar
435782,Schizo
4166701,Bipolar
433443,Schizo
4182683,Psych
4211231,Panic
4287544,Bipolar
439249,Bipolar
442600,Bipolar
436944,Schizo
4324959,Depression
35624744,Bipolar
433992,Bipolar
432866,Bipolar
440980,Bipolar
4224940,Schizo
436086,Bipolar
432876,Bipolar
439250,Bipolar
434321,Schizo
4094358,Depression
4025677,Depression
443797,Bipolar
443876,OCD
4049623,Depression
35624745,Bipolar
440368,Schizo
436384,Schizo
4172156,Bipolar
434332,Schizo
4182119,Panic
44782932,Depression
436665,Bipolar
436076,Depression
435235,Schizo
433990,Schizo
4307951,Depression
4152371,Anx
432883,Depression
4194222,Bipolar
433450,Schizo
4148842,Bipolar
433440,Depression
4009648,Bipolar
43020451,Bipolar
439004,Schizo
439254,Bipolar
4221253,Panic
4333678,Bipolar
4155798,Bipolar
436075,Anx
4205471,Depression
4081257,Psych
435220,Depression
44805552,Bipolar
4307956,Bipolar
4263748,Depression
4154283,Bipolar
44784526,Anx
436074,Panic
37312578,Bipolar
438737,Psych
4038252,Depression
435219,Schizo
4268775,Anx
4185096,Bipolar
4028027,Bipolar
438724,Schizo
4220618,Bipolar
4220617,Bipolar
37109940,Bipolar
434613,Anx
4133495,Schizo
35615152,Depression
440077,Schizo
4149321,Depression
4102345,Seizure
4046215,Seizure
4101747,Seizure
4254546,Seizure
4336820,Seizure
45766063,Seizure
4311977,Seizure
4046207,Seizure
4078332,Seizure
42873167,Seizure
46270366,Seizure
4079056,Seizure
4044227,Seizure
40480055,Seizure
43530734,Seizure
43530626,Seizure
4078333,Seizure
4106574,Seizure
4198103,Seizure
4326435,Seizure
376680,Seizure
4183856,Seizure
4290772,Seizure
46270364,Seizure
4263736,Seizure
4194056,Seizure
46273399,Seizure
4229670,Seizure
4215937,Seizure
4236312,Seizure
4274575,Seizure
43530665,Seizure
381842,Seizure
4044082,Seizure
373748,Seizure
4055361,Seizure
4173765,Seizure
4047888,Seizure
374924,Seizure
46270365,Seizure
4165417,Seizure
4101741,Seizure
40483317,Seizure
37208117,Seizure
4232071,Seizure
4046211,Seizure
4043559,Seizure
4332304,Seizure
4029498,Seizure
4194232,Seizure
4251921,Seizure
4197485,Seizure
4310999,Seizure
43531630,Seizure
4046218,Seizure
46270368,Seizure
4233724,Seizure
42535414,Seizure
4150299,Seizure
4261957,Seizure
374023,Seizure
46270367,Seizure
4309257,Seizure
43530628,Seizure
36716899,Seizure
40483620,Seizure
377091,Seizure
4216135,Seizure
374915,Seizure
380378,Seizure
439654,Seizure
40483585,Seizure
46271795,Seizure
43530706,Seizure
4047895,Seizure
4313035,Seizure
4029783,Seizure